City,Country,Lat,Long,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
Afonso Bezerra,BR,-5.4983,-36.5056,88.72,53,100,15.84,1650652278
Dunkirk,FR,51.05,2.3667,56.01,84,77,1.01,1650652279
Hambantota,LK,6.1241,81.1185,77.34,100,40,2.3,1650652279
Leh,IN,34.1667,77.5833,40.71,57,92,4.43,1650652167
Kaoma,ZM,-14.7833,24.8,62.58,88,37,3.6,1650652280
Erzurum Province,TR,40.0,41.5,46.08,50,12,4.09,1650652280
Adilabad,IN,19.6667,78.5333,89.64,35,97,6.62,1650652280
Yen Bai,VN,21.7,104.8667,74.61,95,86,1.34,1650652281
Porto Santo,PT,33.072,-16.3415,64.78,59,40,26.46,1650652281
Dongying,CN,37.4564,118.4856,53.2,49,38,7.74,1650652282
Nieuwpoort,BE,51.1244,2.7735,58.44,82,100,12.66,1650652282
Clyde River,CA,70.4692,-68.5914,5.23,72,0,6.91,1650652274
Menongue,AO,-14.6585,17.691,59.68,70,54,2.91,1650652283
Nome,US,64.5011,-165.4064,36.16,60,0,11.5,1650652283
Lira,UG,2.235,32.9097,67.55,85,85,4.23,1650652283
Arkhangelsk,RU,64.5401,40.5433,33.91,93,100,2.24,1650652284
Imbituba,BR,-28.24,-48.6703,78.85,68,100,7.07,1650652284
Mandalgovi,MN,45.7625,106.2708,43.05,47,35,6.89,1650652284
Newport,GB,51.5877,-2.9984,58.12,64,95,19.57,1650652075
Harper,LR,4.375,-7.7169,79.25,82,29,6.11,1650652285
Touros,BR,-5.1989,-35.4608,84.33,68,78,14.29,1650652198
Pandan,PH,14.0453,124.1694,79.14,85,15,8.95,1650652286
Luzhou,CN,28.8724,105.4405,69.6,84,7,2.53,1650652286
Amos,CA,48.5669,-78.1162,39.18,59,25,8.59,1650652287
Slave Lake,CA,55.2834,-114.769,46.38,57,0,5.75,1650652172
Palu,ID,-0.8917,119.8707,74.86,97,87,3.09,1650652287
Boussé,BF,12.6606,-1.8922,97.77,22,37,5.59,1650652287
Alyangula,AU,-13.8483,136.4192,73.27,94,3,1.14,1650652288
Marabba,SD,12.35,32.1833,96.75,14,100,5.48,1650652288
Sindor,RU,62.8629,51.8905,32.52,86,100,6.17,1650652289
Kuruman,ZA,-27.4524,23.4325,59.0,63,76,3.18,1650652289
Kutum,SD,14.2,24.6667,81.36,13,0,3.94,1650652289
Quang Ngai,VN,15.1167,108.8,75.16,93,45,4.36,1650652290
Murray Bridge,AU,-35.1167,139.2667,52.12,78,0,3.71,1650652270
Remanso,BR,-9.6179,-42.0831,88.25,41,81,6.2,1650652290
Presidencia Roque Sáenz Peña,AR,-26.7852,-60.4388,83.59,60,100,10.54,1650652291
San Vicente,AR,-26.6167,-54.1333,76.77,62,84,6.58,1650652028
Kota Belud,MY,6.351,116.4305,76.55,87,93,4.21,1650652291
Corowa,AU,-36.0333,146.3833,48.38,65,100,5.08,1650652292
Barinas,VE,8.6226,-70.2075,95.04,46,86,6.91,1650652292
Oranjemund,NA,-28.55,16.4333,57.45,87,58,14.79,1650652292
Erenhot,CN,43.6475,111.9767,54.27,25,87,16.91,1650652293
Manche,FR,49.0,-1.1667,51.98,86,100,9.15,1650652293
Greystones,IE,53.1408,-6.0631,56.68,69,97,21.12,1650652293
Pangnirtung,CA,66.1451,-65.7125,10.4,72,20,4.61,1650652294
Owatonna,US,44.0839,-93.226,50.07,83,100,24.16,1650652294
Gorin,RU,51.1983,136.6669,26.11,93,100,6.98,1650652294
Lagoa,PT,39.05,-27.9833,56.71,70,99,12.8,1650652295
Lyubinskiy,RU,55.1542,72.6925,26.28,48,97,6.87,1650652295
Faya,SA,18.3851,42.4509,68.11,40,93,6.73,1650652295
Chenzhou,CN,25.8,113.0333,67.48,96,79,4.32,1650652296
Mazyr,BY,52.0495,29.2456,43.16,97,100,8.01,1650652296
Kasongo-Lunda,CD,-6.4667,16.8167,71.38,96,100,0.81,1650652297
Bosaso,SO,11.2842,49.1816,83.1,75,74,2.17,1650652297
Saint-Pierre,RE,-21.3393,55.4781,76.68,82,28,13.8,1650652297
Bronkhorstspruit,ZA,-25.8102,28.7425,66.56,69,2,6.02,1650652298
Benguela,AO,-12.5763,13.4055,76.35,87,75,2.48,1650652254
Hasaki,JP,35.7333,140.8333,63.28,88,100,3.83,1650652298
Valley City,US,46.9233,-98.0032,43.32,100,100,13.8,1650652299
Saint-François,FR,46.4154,3.9054,63.84,52,0,5.75,1650652299
Honiara,SB,-9.4333,159.95,77.92,89,83,3.65,1650652299
Sosnogorsk,RU,63.6023,53.8817,28.72,96,100,5.77,1650652300
Alice Springs,AU,-23.7,133.8833,53.15,50,97,0.0,1650652300
Togur,RU,58.3631,82.8265,18.19,83,100,11.83,1650652300
Bam,IR,29.106,58.357,79.36,21,100,8.68,1650652301
Kailua,US,21.4022,-157.7394,76.98,77,100,8.05,1650652301
Belyy Yar,RU,53.6039,91.3903,29.86,53,0,6.71,1650652301
Capim Grosso,BR,-11.3811,-40.0128,81.3,57,100,8.19,1650652302
Bandarbeyla,SO,9.4942,50.8122,82.63,79,25,12.39,1650652302
Calama,CL,-22.4667,-68.9333,69.35,14,0,13.94,1650652222
Yurty,RU,56.0498,97.6348,30.02,90,100,19.39,1650652303
Maria Aurora,PH,15.7967,121.4737,75.85,97,92,1.9,1650652303
Khakhea,BW,-24.6895,23.494,69.64,52,100,6.78,1650652303
Stokmarknes,NO,68.5646,14.9108,40.98,75,75,2.3,1650652304
Liverpool,GB,53.4106,-2.9779,60.58,48,20,21.85,1650652304
Podor,MR,16.6527,-14.9587,100.35,13,0,4.61,1650652304
Conceição da Barra,BR,-18.5933,-39.7322,80.47,62,26,8.63,1650652305
Farah,AF,32.5,62.5,75.47,17,10,2.19,1650652305
Kamaishi,JP,39.2667,141.8833,52.12,79,100,9.06,1650652305
Ilebo,CD,-4.3167,20.5833,77.18,83,100,1.28,1650652306
Bartlesville,US,36.7473,-95.9808,79.18,60,100,21.85,1650652083
Mūl,IN,20.0667,79.6667,89.96,37,22,5.01,1650652307
Kakching,IN,24.4833,93.9833,64.53,98,5,2.82,1650652307
Egvekinot,RU,66.3167,-179.1667,16.41,94,100,0.83,1650652307
Koungheul,SN,13.9833,-14.8,101.64,9,55,5.88,1650652308
Capâo Bonito,BR,-24.0058,-48.3494,77.58,56,86,5.97,1650652308
Qujing,CN,25.4833,103.7833,56.16,77,0,4.63,1650652308
Florianópolis,BR,-27.6146,-48.5012,78.62,72,0,8.05,1650652308
Fjerritslev,DK,57.0813,9.2664,60.66,65,4,15.99,1650652309
Ukiah,US,39.1502,-123.2078,59.38,65,0,3.44,1650652216
Boueni,YT,-12.9025,45.0761,78.78,84,100,14.43,1650652309
Ambovombe,MG,-25.1667,46.0833,72.91,88,33,10.36,1650652310
Vila Velha,BR,-20.3297,-40.2925,93.15,46,20,11.5,1650652310
Mae Hong Son,TH,19.3003,97.9685,75.58,64,24,1.1,1650652310
Russell,US,32.3502,-85.1999,81.91,41,0,10.36,1650652220
Rockport,US,28.0206,-97.0544,84.24,82,100,23.02,1650652311
Jūrmala,LV,56.968,23.7704,48.22,61,0,5.75,1650652225
Paternion,AT,46.7142,13.6361,50.49,98,100,0.87,1650652311
Zyryanka,RU,65.75,150.85,6.84,98,95,0.49,1650652311
Ambilobe,MG,-13.2,49.05,74.03,92,68,4.88,1650652312
Culebra,PR,18.303,-65.301,80.69,75,20,15.39,1650652312
Pierre,US,44.3683,-100.351,68.92,72,0,13.8,1650652040
Manokwari,ID,-0.8667,134.0833,78.35,83,100,3.13,1650652313
Porto Walter,BR,-8.2686,-72.7439,87.13,58,45,4.0,1650652313
Dinguiraye,GN,11.3,-10.7167,90.25,23,100,5.35,1650652313
Andilamena,MG,-17.0167,48.5833,66.29,95,100,6.2,1650652314
San Patricio,US,28.017,-97.5169,86.18,54,8,22.21,1650652314
Crossville,US,35.949,-85.0269,80.19,47,40,6.91,1650652314
Sept-Îles,CA,50.2001,-66.3821,45.12,65,75,13.8,1650652315
Gorontalo,ID,0.5412,123.0595,75.34,95,88,2.86,1650652315
Olinda,BR,-8.0089,-34.8553,85.73,66,40,8.05,1650652315
Sokolo,ML,14.7328,-6.1219,96.78,11,100,0.98,1650652316
Coquimbo,CL,-29.9533,-71.3436,62.33,72,0,13.8,1650652316
Berlevåg,NO,70.8578,29.0864,37.2,98,100,16.51,1650652316
Timrå,SE,62.487,17.3257,44.28,61,0,4.61,1650652317
Nizhnyaya Tura,RU,58.6293,59.8118,23.9,92,33,1.68,1650652317
Aripuanã,BR,-9.1667,-60.6333,81.61,82,92,3.62,1650652317
Kouroussa,GN,10.65,-9.8833,91.63,25,76,1.9,1650652318
Baijiantan,CN,45.6333,85.1833,67.73,32,86,6.42,1650652318
Nyakahanga,TZ,-1.6033,31.1414,59.67,98,92,0.49,1650652318
Noyabrsk,RU,63.1994,75.4507,10.67,92,100,14.0,1650652319
Presidente Epitácio,BR,-21.7633,-52.1156,91.98,25,20,12.37,1650652319
Hammerfest,NO,70.6634,23.6821,36.05,75,75,9.22,1650652319
Inta,RU,66.0317,60.1659,5.47,94,54,7.36,1650652320
Wallaceburg,CA,42.593,-82.3885,54.1,52,60,1.72,1650652140
Talnakh,RU,69.4865,88.3972,7.21,84,98,0.6,1650652320
Clarksburg,US,39.2807,-80.3445,73.42,39,0,3.44,1650652321
Camaná,PE,-16.6228,-72.7111,72.23,73,44,8.95,1650652321
Negombo,LK,7.2083,79.8358,77.05,100,40,1.14,1650652321
Conakry,GN,9.538,-13.6773,84.27,70,75,9.22,1650652322
La Ronge,CA,55.1001,-105.2842,41.25,45,40,5.75,1650652322
Doha,QA,25.2867,51.5333,84.51,47,0,12.66,1650652322
Huarmey,PE,-10.0681,-78.1522,72.63,76,22,11.07,1650652323
Wajima,JP,37.4,136.9,57.6,77,100,14.72,1650652323
Ancud,CL,-41.8697,-73.8203,54.23,91,100,15.28,1650652318
St. George's,GD,12.0564,-61.7485,83.88,61,75,19.57,1650652324
Kolosovka,RU,56.4678,73.611,26.04,83,100,6.4,1650652324
Sāyla,IN,22.55,71.4667,88.12,25,5,10.54,1650652324
Bafra,TR,41.5678,35.9069,52.83,87,75,5.88,1650652325
Baillif,GP,16.0202,-61.7463,81.9,70,85,12.5,1650652325
Mitú,CO,1.1983,-70.1733,82.67,62,97,4.76,1650652151
Haines Junction,CA,60.7522,-137.5108,40.95,42,99,1.14,1650652326
Wodonga,AU,-36.1167,146.8833,51.96,100,60,0.0,1650652326
Kānt,IN,27.8,79.8,85.32,18,19,4.38,1650652326
Burnie,AU,-41.0667,145.9167,43.95,85,0,4.59,1650652327
Atar,MR,20.5169,-13.0499,87.28,15,55,15.52,1650652327
Khovd,MN,48.0056,91.6419,47.07,33,7,11.92,1650652328
Hūn,LY,29.1268,15.9477,75.49,27,4,17.25,1650652328
Susanville,US,40.4163,-120.653,45.91,55,40,8.99,1650652329
Wells,GB,51.2079,-2.649,57.83,70,100,14.34,1650652329
Luanda,AO,-8.8368,13.2343,80.6,83,20,6.91,1650652329
Mardin,TR,37.3131,40.7436,59.74,35,0,6.6,1650652330
Kang,BW,-23.6752,22.7876,69.15,51,100,5.53,1650652330
Rocha,UY,-34.4833,-54.3333,54.37,91,100,9.51,1650652330
Namatanai,PG,-3.6667,152.4333,79.25,83,100,5.73,1650652331
Yashkul',RU,46.1711,45.3435,51.94,61,85,12.75,1650652331
Cap Malheureux,MU,-19.9842,57.6142,78.48,77,100,8.01,1650652331
Kushiro,JP,42.975,144.3747,42.67,96,94,23.33,1650652332
Kalevala,RU,65.2,31.1667,37.11,89,100,4.76,1650652332
Chitungwiza,ZW,-18.0127,31.0756,59.72,93,21,5.06,1650652333
Kavieng,PG,-2.5744,150.7967,82.17,75,98,10.78,1650652279
Karwar,IN,14.8,74.1333,81.79,75,85,0.69,1650652333
Sesheke,ZM,-17.4759,24.2968,69.04,64,100,4.18,1650652333
Shahr-e Bābak,IR,30.1165,55.1186,65.48,34,100,2.55,1650652334
Provincia di Cagliari,IT,39.245,9.0912,64.54,73,20,11.01,1650652334
